ANO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;SG_PARTIDO;NM_COLIGACAO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;codeIBGE;espectro;pop2020;img;PIB;PIB_agr;PIB_ind;PIB_com;PIB_estatal;micro;meso
2020;1;M;MG;53716;TEÓFILO OTONI;269;Prefeito;13;DANIEL BATISTA SUCUPIRA;DANIEL SUCUPIRA;DEFERIDO;PT;AVANÇA MAIS;ELEITO;31747;3168606;ESQUERDA;140937;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pt.png;2698122;42830;308662;1536522;570608;Teófilo Otoni;Vale do Mucuri
2020;1;M;MG;40398;ALTEROSA;19;Prefeito;55;MARCELO NUNES DE SOUZA;MARCELO NUNES;DEFERIDO;PSD;VOCÊ CONHECE, VOCÊ CONFIA;ELEITO;5722;3102001;CENTRO ESQUERDA;14517;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psd.png;214110;33049;12409;92645;63106;Alfenas;Sul/Sudoeste de Minas
2020;1;M;MG;43834;COROACI;212;Prefeito;20;EMERSON DE CARVALHO ANDRADE;EMERSON ANDRADE;DEFERIDO;PSC;COROACI PARA TODOS;ELEITO;3920;3119203;DIREITA;9943;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psc.png;103838;14733;7659;31941;46429;Governador Valadares;Vale do Rio Doce
2020;1;M;MG;44679;DORESÓPOLIS;220;Prefeito;70;ELITON LUIZ MOREIRA;ELINHO;DEFERIDO;AVANTE;PARTIDO ISOLADO;ELEITO;1066;3123403;CENTRO DIREITA;1533;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;55109;7004;16755;13137;13193;Piuí;Oeste de Minas
2020;1;M;MG;42714;CAREAÇU;253;Prefeito;25;TOVAR DOS SANTOS BARROSO;TOVAR;DEFERIDO;DEM;CAREAÇU MAIS FORTE #OTRABALHOCONTINUA;ELEITO;2174;3113602;DIREITA;6792;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;150092;10291;6562;86457;30230;Santa Rita do Sapucaí;Sul/Sudoeste de Minas
2020;1;M;MG;44717;ELÓI MENDES;281;Prefeito;43;PAULO ROBERTO BELATO CARVALHO;PAULO ROBERTO;DEFERIDO;PV;ELÓI MENDES NO RUMO CERTO;ELEITO;7060;3123601;CENTRO;28320;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pv.png;525447;41695;88429;211678;117560;Varginha;Sul/Sudoeste de Minas
2020;1;M;MG;47074;JECEABA;338;Prefeito;12;JOSE DONIZETE ALMEIDA MAIA;ZEZE DO CRISTIANINHO;DEFERIDO;PDT;PELO DESENVOLVIMENTO DO MUNICIPIO E RESPEITO AOS JECEABENSES;ELEITO;2379;3135407;CENTRO ESQUERDA;4852;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pdt.png;1224886;6867;714332;273128;54431;Itaguara;Metropolitana de Belo Horizonte
2020;1;M;MG;50598;PRATINHA;327;Prefeito;36;JOHN WERCOLLIS DE MORAIS;JOHN WERCOLLIS;DEFERIDO;PTC;PRATINHA SOMOS TODOS NÓS;ELEITO;1717;3153004;DIREITA;3631;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/ptc.png;86677;32948;4946;20428;21054;Araxá;Triângulo Mineiro/Alto Paranaíba
2020;1;M;MG;41734;BRÁS PIRES;261;Prefeito;14;DOMINGOS RIVELLI TEIXEIRA NOGUEIRA;DOMINGUIM;DEFERIDO;PTB;BRÁS PIRES PODE AINDA MAIS;ELEITO;2188;3108701;CENTRO DIREITA;4293;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/ptb.png;40227;3847;1614;12550;20410;Viçosa;Zona da Mata
2020;1;M;MG;46396;ITACAMBIRA;184;Prefeito;40;GERALDO MOISÉS DE SOUZA;MOISÉS DE VICENTÃO;DEFERIDO;PSB;MUDAR PARA MELHORAR;ELEITO;1995;3132008;DIREITA;5417;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psb.png;55160;17519;1159;9056;25482;Grão Mogol;Norte de Minas
2020;1;M;MG;51390;SALINAS;244;Prefeito;12;JOAQUIM NERES XAVIER DIAS;KINCA DIAS;DEFERIDO;PDT;JUNTOS POR SALINAS;ELEITO;12723;3157005;CENTRO ESQUERDA;41699;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/pdt.png;570644;17374;47581;283924;172412;Salinas;Norte de Minas
2020;1;M;MG;41157;TRÊS MARIAS;309;Prefeito;45;ADAIR DIVINO DA SILVA;BEM TI VI;DEFERIDO;PSDB;UNIDOS PELO BEM DE TRÊS MARIAS;ELEITO;9259;3169356;DIREITA;32716;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;2471143;94203;1374600;501813;162975;Três Marias;Central Mineira
2020;1;M;MG;42196;CAMPESTRE;222;Prefeito;25;MARCO ANTONIO MESSIAS FRANCO;MARQUINHO TURQUINHO;DEFERIDO;DEM;CONSTRUINDO UMA NOVA HISTÓRIA;ELEITO;5790;3111002;DIREITA;21054;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;323481;49339;23603;142134;87434;Poços de Caldas;Sul/Sudoeste de Minas
2020;1;M;MG;48135;MATEUS LEME;172;Prefeito;10;RENILTON RIBEIRO COELHO;DR RENILTON;DEFERIDO;REPUBLICANOS;UNIDOS SOMOS MAIS FORTES;ELEITO;7462;3140704;CENTRO DIREITA;31364;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/republicanos.png;690476;17239;186986;271161;138383;Belo Horizonte;Metropolitana de Belo Horizonte
2020;1;M;MG;50539;PRADOS;228;Prefeito;45;LESTER REZENDE DANTAS JUNIOR;JUNINHO DO LESTER;DEFERIDO;PSDB;PARTIDO ISOLADO;ELEITO;3369;3152709;DIREITA;9080;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psdb.png;183081;29601;49704;54944;37345;São João Del Rei;Campo das Vertentes
2020;1;M;MG;49077;OLARIA;162;Prefeito;70;LUIZ ENEIAS DE OLIVEIRA;LUIZINHO;DEFERIDO;AVANTE;JUNTOS, PARA O PROGRESSO CONTINUAR!;ELEITO;1060;3145406;CENTRO DIREITA;1720;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/avante.png;24472;2999;954;7184;12644;Juiz de Fora;Zona da Mata
2020;1;M;MG;40770;ARAÚJOS;298;Prefeito;40;GERALDO MAGELA DA SILVA;GERALDO MASSA;DEFERIDO;PSB;DOIS FILHOS DE ARAÚJOS;ELEITO;2798;3103900;DIREITA;9401;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/psb.png;339252;121050;45463;109901;40731;Bom Despacho;Central Mineira
2020;1;M;MG;52639;SÃO JOSÉ DO ALEGRE;51;Prefeito;25;PAULO SERGIO DA SIVLA;PAULO DO CONTRAMAO;DEFERIDO;DEM;PARTIDO ISOLADO;ELEITO;1274;3163201;DIREITA;4210;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;49653;3499;3125;19215;20711;Santa Rita do Sapucaí;Sul/Sudoeste de Minas
2020;1;M;MG;48577;MONTE AZUL;180;Prefeito;15;PAULO DIAS MOREIRA;DR. PAULO;DEFERIDO;MDB;ALIANÇA POR MONTE AZUL;ELEITO;5936;3142908;DIREITA;20696;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;219184;10428;10377;99421;86339;Janaúba;Norte de Minas
2020;1;M;MG;40924;JOSENÓPOLIS;120;Prefeito;10;DANIEL PATRICK RIBEIRO QUEIROZ;DANIEL;DEFERIDO;REPUBLICANOS;AVANÇA JOSENÓPOLIS;ELEITO;1649;3136579;CENTRO DIREITA;4889;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/republicanos.png;51262;14840;984;9471;24826;Grão Mogol;Norte de Minas
2020;1;M;MG;44571;DONA EUSÉBIA;79;Prefeito;23;MANOEL FRANKLIN RODRIGUES;NENZINHO;DEFERIDO;CIDADANIA;DONA EUZEBIA PODE MAIS;ELEITO;2366;3122900;CENTRO;6619;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/cidadania.png;86639;16377;6427;30370;29561;Cataguases;Zona da Mata
2020;1;M;MG;42072;CAMACHO;296;Prefeito;25;BRUNO LAMOUNIER FURTADO;BRUNO;DEFERIDO;DEM;CONTINUAR PARA AVANÇAR;ELEITO;1713;3110400;DIREITA;2869;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/dem.png;38487;7402;1790;10808;16977;Formiga;Oeste de Minas
2020;1;M;MG;46817;ITUETA;233;Prefeito;15;VALTER JOSÉ NICOLI;VALTER NICOLI (GUEGUI);DEFERIDO;MDB;JUNTOS PARA O TRABALHO CONTINUAR ;ELEITO;2002;3134103;DIREITA;6063;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;75960;10878;4299;26161;28858;Aimorés;Vale do Rio Doce
2020;1;M;MG;41491;BOM JARDIM DE MINAS;240;Prefeito;15;JOAQUIM LAÉRCIO RODRIGUES;LAÉRCIO;DEFERIDO;MDB; TODOS ABRAÇANDO BOM JARDIM;ELEITO;2399;3107505;DIREITA;6459;https://raw.githubusercontent.com/CarCesar/MG2020/main/logos/mdb.png;114310;23453;9001;41809;31377;Andrelândia;Sul/Sudoeste de Minas
